timestamp_sec,raw_odom_yaw,raw_imu_yaw,ekf_filtered_yaw,raw_odom_w,raw_imu_w,ekf_filtered_w,raw_odom_v,ekf_filtered_v
512.216,1.234,2.3989,2.3989,0.0006,0.0,-0.0,0.0,0.0
512.274,1.2341,2.3989,2.3989,0.0008,0.0,0.0,0.0,0.0
512.319,1.2341,2.3989,2.3989,-0.0005,0.0,-0.0,0.0,0.0
512.366,1.234,2.3989,2.3989,-0.001,0.0,-0.0,0.0,0.0
512.426,1.2341,2.3989,2.3989,0.0012,0.0,0.0,0.0,0.0
512.469,1.2341,2.399,2.3989,0.0006,0.0,0.0,0.0,0.0
512.517,1.2341,2.3989,2.3989,-0.0009,0.0,-0.0,0.0,0.0
512.576,1.2341,2.399,2.3989,0.0006,0.0,0.0,0.0,0.0
512.621,1.2341,2.399,2.3989,0.0008,0.0,0.0,0.0,0.0
512.667,1.234,2.3989,2.3989,-0.0026,0.0,-0.0,0.0,0.0
512.724,1.2341,2.3989,2.3989,0.0012,0.0,0.0,0.0,0.0
512.77,1.2341,2.3989,2.3989,-0.0001,0.0,0.0,0.0,0.0
512.816,1.2341,2.3989,2.3989,-0.0004,0.0,-0.0,0.0,0.0
512.874,1.2341,2.3989,2.3989,0.0005,0.0,0.0,0.0,0.0
512.921,1.2341,2.399,2.3989,0.001,0.0,0.0,0.0,0.0
512.966,1.2341,2.399,2.3989,0.0002,0.0,0.0,0.0,0.0
513.024,1.234,2.3989,2.3989,-0.0026,0.0,-0.0,0.0,0.0
513.07,1.234,2.3989,2.3989,0.0005,0.0,-0.0,0.0,0.0
513.127,1.234,2.3989,2.3989,-0.0001,0.0,-0.0,0.0,0.0
513.175,1.2341,2.3989,2.3989,0.0008,0.0,0.0,0.0,0.0
513.218,1.2341,2.3989,2.3989,-0.0004,0.0,-0.0,0.0,0.0
513.267,1.234,2.3988,2.3989,-0.0015,0.0,-0.0,0.0,0.0
513.324,1.2341,2.399,2.3989,0.0023,0.0,0.0,0.0,0.0
513.366,1.234,2.3989,2.3989,-0.0017,0.0,-0.0,0.0,0.0
513.428,1.234,2.3989,2.3989,-0.0006,0.0,-0.0,0.0,0.0
513.47,1.234,2.3989,2.3989,-0.0001,0.0,-0.0,0.0,0.0
513.518,1.2341,2.3989,2.3989,0.0017,0.0,0.0,0.0,0.0
513.566,1.2341,2.3989,2.3989,-0.0002,0.0,0.0,0.0,0.0
513.624,1.234,2.3989,2.3989,-0.0008,0.0,-0.0,0.0,0.0
513.666,1.234,2.3989,2.3989,0.0004,0.0,0.0,0.0,0.0
513.724,1.2341,2.3989,2.3989,0.0004,0.0,0.0,0.0,0.0
513.772,1.2341,2.3989,2.3989,-0.0,0.0,0.0,0.0,0.0
513.817,1.2341,2.399,2.3989,0.0014,0.0,0.0,0.0,0.0
513.878,1.2341,2.399,2.3989,-0.0004,0.0,0.0,0.0,0.0
513.923,1.2341,2.3989,2.3989,-0.0002,0.0,0.0,0.0,0.0
513.966,1.2341,2.3989,2.3989,-0.0002,0.0,-0.0,0.0,0.0
514.025,1.2341,2.3989,2.3989,0.0002,0.0,0.0,0.0,0.0
514.07,1.2341,2.3989,2.3989,-0.0004,0.0,-0.0,0.0,0.0
514.119,1.2341,2.3989,2.3989,0.0004,0.0,0.0,0.0,0.0
514.175,1.2341,2.399,2.3989,0.0007,0.0,0.0,0.0,0.0
514.221,1.2341,2.3989,2.3989,-0.0009,0.0,-0.0,0.0,0.0
514.265,1.2341,2.399,2.3989,0.0018,0.0,0.0,0.0,0.0
514.326,1.2341,2.3989,2.3989,-0.0013,0.0,-0.0,0.0,0.0
